CSVv2,OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central,1,-2.4,2.4,20,1000,0,1,0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))) , 
0, mujets, central,0,-2.4,2.4,20,1000,0,1,0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))) , 
0, mujets, down,1,-2.4,2.4,20,30,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.050885681062936783 , 
0, mujets, down,1,-2.4,2.4,30,50,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.027985736727714539 ,
0, mujets, down,1,-2.4,2.4,50,70,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.026433905586600304 , 
0, mujets, down,1,-2.4,2.4,70,100,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.027706779539585114 , 
0, mujets, down,1,-2.4,2.4,100,140,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.0264092106372118 , 
0, mujets, down,1,-2.4,2.4,140,200,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.023061761632561684 , 
0, mujets, down,1,-2.4,2.4,200,300,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.036675497889518738 , 
0, mujets, down,1,-2.4,2.4,300,600,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.036765053868293762 , 
0, mujets, down,1,-2.4,2.4,600,1000,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.045008551329374313 , 
0, mujets, down,0,-2.4,2.4,20,30,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.025442840531468391 , 
0, mujets, down,0,-2.4,2.4,30,50,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.013992868363857269 , 
0, mujets, down,0,-2.4,2.4,50,70,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.013216952793300152 , 
0, mujets, down,0,-2.4,2.4,70,100,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.013853389769792557 , 
0, mujets, down,0,-2.4,2.4,100,140,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.0132046053186059 , 
0, mujets, down,0,-2.4,2.4,140,200,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.011530880816280842 , 
0, mujets, down,0,-2.4,2.4,200,300,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.018337748944759369 , 
0, mujets, down,0,-2.4,2.4,300,600,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.018382526934146881 , 
0, mujets, down,0,-2.4,2.4,600,1000,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))-0.022504275664687157 , 
0, mujets, up,1,-2.4,2.4,20,30,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.050885681062936783 , 
0, mujets, up,1,-2.4,2.4,30,50,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.027985736727714539 , 
0, mujets, up,1,-2.4,2.4,50,70,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.026433905586600304 , 
0, mujets, up,1,-2.4,2.4,70,100,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.027706779539585114 , 
0, mujets, up,1,-2.4,2.4,100,140,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.0264092106372118 , 
0, mujets, up,1,-2.4,2.4,140,200,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.023061761632561684 , 
0, mujets, up,1,-2.4,2.4,200,300,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.036675497889518738 , 
0, mujets, up,1,-2.4,2.4,300,600,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.036765053868293762 , 
0, mujets, up,1,-2.4,2.4,600,1000,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.045008551329374313 , 
0, mujets, up,0,-2.4,2.4,20,30,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.025442840531468391 , 
0, mujets, up,0,-2.4,2.4,30,50,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.013992868363857269 , 
0, mujets, up,0,-2.4,2.4,50,70,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.013216952793300152 , 
0, mujets, up,0,-2.4,2.4,70,100,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.013853389769792557 , 
0, mujets, up,0,-2.4,2.4,100,140,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.0132046053186059 , 
0, mujets, up,0,-2.4,2.4,140,200,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.011530880816280842 , 
0, mujets, up,0,-2.4,2.4,200,300,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.018337748944759369 , 
0, mujets, up,0,-2.4,2.4,300,600,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.018382526934146881 , 
0, mujets, up,0,-2.4,2.4,600,1000,0,1,(0.884095*((1.+(0.0331223*x))/(1.+(0.0284878*x))))+0.022504275664687157 , 
1, mujets, central,1,-2.4,2.4,20,1000,0,1,0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))) , 
1, mujets, central,0,-2.4,2.4,20,1000,0,1,0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))) , 
1, mujets, down,1,-2.4,2.4,20,30,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.081104323267936707 , 
1, mujets, down,1,-2.4,2.4,30,50,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.036705482751131058 , 
1, mujets, down,1,-2.4,2.4,50,70,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.032387439161539078 , 
1, mujets, down,1,-2.4,2.4,70,100,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.029261114075779915 , 
1, mujets, down,1,-2.4,2.4,100,140,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.028392905369400978 , 
1, mujets, down,1,-2.4,2.4,140,200,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.033088266849517822 , 
1, mujets, down,1,-2.4,2.4,200,300,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.042805008590221405 , 
1, mujets, down,1,-2.4,2.4,300,600,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.047122586518526077 , 
1, mujets, down,1,-2.4,2.4,600,1000,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.069425947964191437 , 
1, mujets, down,0,-2.4,2.4,20,30,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.040552161633968353 , 
1, mujets, down,0,-2.4,2.4,30,50,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.018352741375565529 , 
1, mujets, down,0,-2.4,2.4,50,70,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.016193719580769539 , 
1, mujets, down,0,-2.4,2.4,70,100,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.014630557037889957, 
1, mujets, down,0,-2.4,2.4,100,140,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.014196452684700489 , 
1, mujets, down,0,-2.4,2.4,140,200,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.016544133424758911 , 
1, mujets, down,0,-2.4,2.4,200,300,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.021402504295110703 , 
1, mujets, down,0,-2.4,2.4,300,600,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.023561293259263039 , 
1, mujets, down,0,-2.4,2.4,600,1000,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))-0.034712973982095718 , 
1, mujets, up,1,-2.4,2.4,20,30,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.081104323267936707 , 
1, mujets, up,1,-2.4,2.4,30,50,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.036705482751131058 , 
1, mujets, up,1,-2.4,2.4,50,70,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.032387439161539078 , 
1, mujets, up,1,-2.4,2.4,70,100,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.029261114075779915 , 
1, mujets, up,1,-2.4,2.4,100,140,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.028392905369400978 , 
1, mujets, up,1,-2.4,2.4,140,200,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.033088266849517822 , 
1, mujets, up,1,-2.4,2.4,200,300,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.042805008590221405 , 
1, mujets, up,1,-2.4,2.4,300,600,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.047122586518526077 , 
1, mujets, up,1,-2.4,2.4,600,1000,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.069425947964191437 , 
1, mujets, up,0,-2.4,2.4,20,30,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.040552161633968353 , 
1, mujets, up,0,-2.4,2.4,30,50,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.018352741375565529 , 
1, mujets, up,0,-2.4,2.4,50,70,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.016193719580769539 , 
1, mujets, up,0,-2.4,2.4,70,100,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.014630557037889957 , 
1, mujets, up,0,-2.4,2.4,100,140,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.014196452684700489 , 
1, mujets, up,0,-2.4,2.4,140,200,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.016544133424758911 , 
1, mujets, up,0,-2.4,2.4,200,300,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.021402504295110703 , 
1, mujets, up,0,-2.4,2.4,300,600,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.023561293259263039 , 
1, mujets, up,0,-2.4,2.4,600,1000,0,1,(0.718089*((1.+(0.0685706*x))/(1.+(0.0475752*x))))+0.034712973982095718 , 
2, mujets, central,1,-2.4,2.4,20,1000,0,1,0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))) , 
2, mujets, central,0,-2.4,2.4,20,1000,0,1,0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))) , 
2, mujets, down,1,-2.4,2.4,20,30,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.068951800465583801 , 
2, mujets, down,1,-2.4,2.4,30,50,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.045543685555458069 , 
2, mujets, down,1,-2.4,2.4,50,70,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.042007919400930405 , 
2, mujets, down,1,-2.4,2.4,70,100,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.034215584397315979 , 
2, mujets, down,1,-2.4,2.4,100,140,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.033830158412456512 , 
2, mujets, down,1,-2.4,2.4,140,200,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.033383704721927643 , 
2, mujets, down,1,-2.4,2.4,200,300,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.056626826524734497 , 
2, mujets, down,1,-2.4,2.4,300,600,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.065886281430721283 , 
2, mujets, down,1,-2.4,2.4,600,1000,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.10926809906959534 , 
2, mujets, down,0,-2.4,2.4,20,30,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.034475900232791901 , 
2, mujets, down,0,-2.4,2.4,30,50,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.022771842777729034 , 
2, mujets, down,0,-2.4,2.4,50,70,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.021003959700465202 , 
2, mujets, down,0,-2.4,2.4,70,100,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.01710779219865799 , 
2, mujets, down,0,-2.4,2.4,100,140,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.016915079206228256 , 
2, mujets, down,0,-2.4,2.4,140,200,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.016691852360963821 , 
2, mujets, down,0,-2.4,2.4,200,300,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.028313413262367249 , 
2, mujets, down,0,-2.4,2.4,300,600,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.032943140715360641 , 
2, mujets, down,0,-2.4,2.4,600,1000,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))-0.054634049534797668 , 
2, mujets, up,1,-2.4,2.4,20,30,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.068951800465583801 , 
2, mujets, up,1,-2.4,2.4,30,50,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.045543685555458069 , 
2, mujets, up,1,-2.4,2.4,50,70,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.042007919400930405 , 
2, mujets, up,1,-2.4,2.4,70,100,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.034215584397315979 , 
2, mujets, up,1,-2.4,2.4,100,140,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.033830158412456512 , 
2, mujets, up,1,-2.4,2.4,140,200,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.033383704721927643 , 
2, mujets, up,1,-2.4,2.4,200,300,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.056626826524734497 , 
2, mujets, up,1,-2.4,2.4,300,600,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.065886281430721283 , 
2, mujets, up,1,-2.4,2.4,600,1000,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.10926809906959534 , 
2, mujets, up,0,-2.4,2.4,20,30,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.034475900232791901 , 
2, mujets, up,0,-2.4,2.4,30,50,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.022771842777729034 , 
2, mujets, up,0,-2.4,2.4,50,70,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.021003959700465202 , 
2, mujets, up,0,-2.4,2.4,70,100,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.01710779219865799 , 
2, mujets, up,0,-2.4,2.4,100,140,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.016915079206228256 , 
2, mujets, up,0,-2.4,2.4,140,200,0,1,(0.849526*((1.+(0.0185401*x))/(1.+(0.0153618*x))))+0.016691852360963821 , 
